Year,Team,Team (Abbr),Points Scored,Points Allowed,Total Yards,Passing Yards,Rushing Yards,First Downs,Turnovers,Rush Attempts,Pass Attempts,RZSP,OffensiveEfficiency,PassingEfficiency,RushingEfficiency,TurnoverRate,Team PassingTDs,Team Rushing TDs
2015,49ers,SF,238,387,4860,3316,1544,261,17,390,526,43.59%,0.048971,6.304183,3.958974,0.018559,16,7
2015,Bears,CHI,335,397,5514,3663,1851,312,21,469,523,48.98%,0.060754,7.003824,3.946695,0.021169,21,13
2015,Bengals,CIN,419,279,5728,3923,1805,324,17,467,505,65.00%,0.073149,7.768317,3.865096,0.01749,31,18
2015,Bills,BUF,379,359,5775,3343,2432,297,19,509,465,50.00%,0.065628,7.189247,4.777996,0.019507,23,19
2015,Broncos,DEN,355,296,5688,3970,1718,314,31,411,606,46.15%,0.062412,6.551155,4.180049,0.030482,19,13
2015,Browns,CLV,278,432,5311,3782,1529,307,30,380,609,38.30%,0.052344,6.210181,4.023684,0.030334,20,5
2015,Buccaneers,TB,342,417,6014,3852,2162,336,28,455,535,52.94%,0.056867,7.2,4.751648,0.028283,22,12
2015,Cardinals,ARZ,489,313,6533,4616,1917,373,24,452,562,60.00%,0.074851,8.213523,4.24115,0.023669,35,16
2015,Chargers,SD,320,398,5949,4591,1358,344,24,393,667,63.64%,0.053791,6.883058,3.455471,0.022642,30,4
2015,Chiefs,KC,405,287,5299,3255,2044,303,15,436,473,57.38%,0.07643,6.881607,4.688073,0.016502,20,19
2015,Colts,IND,333,408,5142,3704,1438,311,30,396,619,53.06%,0.064761,5.983845,3.631313,0.029557,26,6
2015,Commanders,WAS,388,379,5661,4095,1566,317,22,429,555,58.49%,0.06853912736,7.445454545,3.65034965,0.02235772358,30,9
2015,Cowboys,DAL,275,374,5361,3471,1890,307,33,408,528,44.44%,0.051296,6.573864,4.632353,0.035256,16,8
2015,Dolphins,MIA,310,389,5307,3811,1496,291,19,344,588,53.49%,0.058413,6.481293,4.348837,0.020386,24,11
2015,Eagles,PHI,377,430,5830,4087,1743,339,31,442,623,55.81%,0.064666,6.560193,3.943439,0.029108,23,15
2015,Falcons,ATL,339,345,5990,4379,1611,359,30,420,621,54.72%,0.056594,7.05153,3.835714,0.028818,21,13
2015,Giants,NYG,420,442,5952,4343,1609,331,21,403,623,44.44%,0.070565,6.971108,3.992556,0.020468,36,5
2015,Jaguars,JAX,376,448,5581,4108,1473,313,28,354,607,53.70%,0.067371,6.76771,4.161017,0.029136,35,5
2015,Jets,NYJ,387,314,5925,4057,1868,329,24,448,604,66.04%,0.065316,6.716887,4.169643,0.022814,33,11
2015,Lions,DET,358,400,5547,4212,1335,337,24,354,632,69.39%,0.064539,6.664557,3.771186,0.024341,33,7
2015,Packers,GB,368,323,5353,3503,1850,317,17,436,573,55.00%,0.068746,6.113438,4.243119,0.016848,31,8
2015,Panthers,CAR,500,308,5871,3589,2282,357,19,526,501,69.44%,0.085164,7.163673,4.338403,0.0185,35,19
2015,Patriots,NE,465,315,5991,4587,1404,347,14,383,629,65.22%,0.077616,7.292528,3.665796,0.013834,36,14
2015,Raiders,OAK,359,399,5336,3879,1457,300,24,370,605,60.98%,0.067279,6.41157,3.937838,0.024615,34,7
2015,Rams,SL,280,330,4761,2805,1956,241,21,429,473,52.78%,0.058811,5.930233,4.559441,0.023282,11,16
2015,Ravens,BLT,328,401,5749,4271,1478,323,28,383,676,48.94%,0.057053,6.318047,3.859008,0.02644,21,8
2015,Saints,NO,408,476,6461,4970,1491,381,20,397,667,60.34%,0.063148,7.451274,3.755668,0.018797,32,16
2015,Seahawks,SEA,423,277,6058,3790,2268,335,16,501,489,55.56%,0.069825,7.750511,4.526946,0.016162,34,10
2015,Steelers,PIT,423,319,6327,4603,1724,331,28,388,590,57.14%,0.066856,7.801695,4.443299,0.02863,26,16
2015,Texans,HST,339,313,5564,3833,1731,335,20,472,619,56.52%,0.060927,6.192246,3.667373,0.018332,29,7
2015,Titans,TEN,299,423,4988,3503,1485,298,33,371,551,65.00%,0.059944,6.357532,4.002695,0.035792,25,10
2015,Vikings,MIN,365,302,5139,2928,2211,297,17,474,454,47.73%,0.071025,6.449339,4.664557,0.018319,14,18
2016,49ers,SF,309,480,4930,2911,2019,287,25,458,491,68.18%,0.062677,5.928717,4.408297,0.026344,21,15
2016,Bears,CHI,279,399,5704,3969,1735,324,31,380,559,51.02%,0.048913,7.100179,4.565789,0.033014,19,10
2016,Bengals,CIN,325,315,5711,3942,1769,341,17,446,563,53.70%,0.056908,7.001776,3.966368,0.016848,18,17
2016,Bills,BUF,399,378,5666,3036,2630,328,12,492,474,64.81%,0.07042,6.405063,5.345528,0.012422,17,29
2016,Broncos,DEN,333,297,5169,3685,1484,290,25,410,570,46.81%,0.064423,6.464912,3.619512,0.02551,20,11
2016,Browns,CLE,264,452,4976,3264,1712,296,25,350,567,54.55%,0.053055,5.756614,4.891429,0.027263,15,13
2016,Buccaneers,TB,354,369,5542,3926,1616,340,27,453,578,51.85%,0.063876,6.792388,3.567329,0.026188,29,8
2016,Cardinals,ARI,418,362,5868,4136,1732,368,28,399,646,64.81%,0.071234,6.402477,4.340852,0.026794,28,20
2016,Chargers,SD,410,423,5708,4198,1510,340,35,398,580,51.61%,0.071829,7.237931,3.79397,0.035787,33,10
2016,Chiefs,KC,389,311,5488,3740,1748,305,17,412,546,47.37%,0.070882,6.849817,4.242718,0.017745,19,15
2016,Colts,IND,411,392,5830,4202,1628,351,22,409,584,66.04%,0.070497,7.195205,3.98044,0.022155,32,13
2016,Commanders,WAS,396,383,6454,4758,1696,345,21,379,607,45.90%,0.0613572978,8.650909091,4.474934037,0.02129817444,27,10
2016,Cowboys,DAL,421,306,6027,3631,2396,358,15,499,483,65.57%,0.069852,7.517598,4.801603,0.015275,25,24
2016,Dolphins,MIA,363,380,5324,3500,1824,278,23,405,477,55.10%,0.068182,7.337526,4.503704,0.026077,27,14
2016,Eagles,PHI,367,331,5398,3585,1813,333,20,438,609,49.09%,0.067988,5.8867,4.139269,0.019102,16,16
2016,Falcons,ATL,540,406,6653,4725,1928,379,11,421,537,64.56%,0.081166,8.798883,4.579572,0.011482,38,20
2016,Giants,NYG,310,284,5291,3879,1412,289,27,398,598,51.11%,0.05859,6.486622,3.547739,0.027108,26,6
2016,Jaguars,JAX,318,400,5359,3728,1631,321,29,392,626,60.00%,0.059339,5.955272,4.160714,0.028487,24,8
2016,Jets,NYJ,275,409,5268,3466,1802,291,34,418,550,35.19%,0.052202,6.301818,4.311005,0.035124,16,10
2016,Lions,DET,346,358,5421,4111,1310,329,15,350,594,54.17%,0.063826,6.920875,3.742857,0.01589,24,9
2016,Packers,GB,432,388,5900,4199,1701,349,17,374,620,64.47%,0.07322,6.772581,4.548128,0.017103,40,11
2016,Panthers,CAR,369,402,5499,3685,1814,318,29,453,563,59.18%,0.067103,6.545293,4.004415,0.028543,21,16
2016,Patriots,NE,441,250,6180,4308,1872,351,11,482,550,64.00%,0.071359,7.832727,3.883817,0.010659,32,19
2016,Raiders,OAK,416,385,5973,4051,1922,334,14,434,596,58.62%,0.069647,6.79698,4.428571,0.013592,29,17
2016,Rams,LA,224,394,4203,2951,1252,245,29,375,536,47.06%,0.053295,5.505597,3.338667,0.031833,14,9
2016,Ravens,BAL,343,321,5563,4100,1463,316,23,367,679,52.17%,0.061657,6.038292,3.986376,0.021989,20,10
2016,Saints,NO,469,454,6816,5074,1742,395,24,404,674,66.18%,0.068809,7.52819,4.311881,0.022263,38,17
2016,Seahawks,SEA,354,292,5715,4124,1591,313,18,403,567,47.62%,0.061942,7.273369,3.947891,0.018557,23,13
2016,Steelers,PIT,399,327,5962,4202,1760,336,18,409,596,54.24%,0.066924,7.050336,4.303178,0.01791,33,13
2016,Texans,HOU,279,328,5035,3176,1859,305,24,456,583,44.00%,0.055412,5.447684,4.076754,0.023099,15,8
2016,Titans,TEN,381,378,5728,3541,2187,322,18,476,504,72.00%,0.066515,7.025794,4.594538,0.018367,29,16
2016,Vikings,MIN,327,307,5041,3836,1205,303,16,380,588,46.00%,0.064868,6.52381,3.171053,0.016529,20,9
2017,49ers,SF,331,383,5589,3925,1664,321,23,408,607,47.06%,0.059223,6.466227,4.078431,0.02266,15,15
2017,Bears,CHI,264,320,4599,2811,1788,267,22,422,473,60.61%,0.057404,5.942918,4.236967,0.024581,13,13
2017,Bengals,CIN,290,349,4488,3122,1366,267,23,377,510,55.81%,0.064617,6.121569,3.623342,0.02593,25,6
2017,Bills,BUF,302,359,4842,2825,2017,278,16,487,476,51.11%,0.062371,5.934874,4.141684,0.016615,16,12
2017,Broncos,DEN,289,382,5185,3333,1852,297,34,457,566,39.58%,0.055738,5.888693,4.052516,0.033236,19,8
2017,Browns,CLE,234,410,4942,3228,1714,290,41,384,574,48.72%,0.047349,5.623693,4.463542,0.042797,15,11
2017,Buccaneers,TB,335,382,5816,4366,1450,352,27,389,605,49.06%,0.0576,7.216529,3.727506,0.027163,26,8
2017,Cardinals,ARI,295,361,5026,3640,1386,310,25,409,598,41.67%,0.058695,6.086957,3.388753,0.024826,21,6
2017,Chargers,LAC,355,272,6026,4431,1595,337,15,419,583,46.81%,0.058911,7.600343,3.806683,0.01497,28,10
2017,Chiefs,KC,415,339,6007,4104,1903,322,11,405,543,45.28%,0.069086,7.558011,4.698765,0.011603,26,12
2017,Colts,IND,263,404,4553,2892,1661,267,15,451,487,40.00%,0.057764,5.938398,3.682927,0.015991,13,11
2017,Commanders,WAS,342,388,5199,3751,1448,278,27,401,540,54.35%,0.06578188113,6.82,3.610972569,0.02869287991,27,10
2017,Cowboys,DAL,354,332,5311,3141,2170,314,22,480,493,59.62%,0.066654,6.371197,4.520833,0.02261,22,18
2017,Dolphins,MIA,281,393,4923,3535,1388,284,29,360,602,52.63%,0.057079,5.872093,3.855556,0.030146,24,4
2017,Eagles,PHI,457,295,5852,3737,2115,338,20,473,564,64.06%,0.078093,6.625887,4.471459,0.019286,38,9
2017,Falcons,ATL,353,315,5837,3990,1847,330,18,430,530,49.18%,0.060476,7.528302,4.295349,0.01875,21,12
2017,Giants,NYG,246,388,5028,3479,1549,271,22,394,608,48.72%,0.048926,5.722039,3.931472,0.021956,20,6
2017,Jaguars,JAX,417,268,5855,3593,2262,332,23,527,527,68.97%,0.071221,6.817837,4.29222,0.021822,21,18
2017,Jets,NYJ,298,382,4884,3182,1702,269,24,427,510,54.55%,0.061016,6.239216,3.985948,0.025614,19,13
2017,Lions,DET,410,376,5404,4183,1221,296,22,363,570,56.52%,0.07587,7.338596,3.363636,0.02358,29,10
2017,Packers,GB,320,384,4891,3167,1724,307,25,386,562,61.90%,0.065426,5.635231,4.466321,0.026371,25,13
2017,Panthers,CAR,363,327,5179,3077,2102,320,22,490,501,51.79%,0.070091,6.141717,4.289796,0.0222,22,15
2017,Patriots,NE,458,296,6307,4418,1889,389,12,448,587,62.65%,0.072618,7.526405,4.216518,0.011594,32,16
2017,Raiders,OAK,301,373,5185,3631,1554,287,28,370,558,58.82%,0.058052,6.507168,4.2,0.030172,23,13
2017,Rams,LA,478,329,5784,3831,1953,311,21,454,518,53.42%,0.082642,7.395753,4.301762,0.021605,28,17
2017,Ravens,BAL,395,303,4886,3030,1856,311,17,460,567,57.69%,0.080843,5.343915,4.034783,0.016553,20,14
2017,Saints,NO,448,326,6259,4189,2070,332,18,444,536,61.29%,0.071577,7.815299,4.662162,0.018367,23,23
2017,Seahawks,SEA,366,332,5286,3657,1629,299,17,409,555,55.56%,0.06924,6.589189,3.982885,0.017635,34,4
2017,Steelers,PIT,406,308,6047,4380,1667,348,20,437,590,53.03%,0.067141,7.423729,3.814645,0.019474,29,12
2017,Texans,HOU,338,436,5120,3278,1842,313,28,448,525,52.38%,0.066016,6.24381,4.111607,0.028777,28,8
2017,Titans,TEN,334,356,5024,3191,1833,290,25,443,496,54.55%,0.066481,6.433468,4.137698,0.026624,14,18
2017,Vikings,MIN,382,252,5710,3753,1957,334,14,501,527,55.56%,0.0669,7.121442,3.906188,0.013619,25,15
2018,49ers,SF,342,435,5769,3867,1902,344,32,423,532,41.18%,0.059282,7.268797,4.496454,0.033508,26,7
2018,Bears,CHI,421,283,5502,3564,1938,331,24,468,512,63.16%,0.076518,6.960938,4.141026,0.02449,28,16
2018,Bengals,CIN,368,455,4972,3290,1682,304,17,359,542,71.11%,0.074014,6.070111,4.685237,0.018868,27,13
2018,Bills,BUF,269,374,4778,2794,1984,283,32,468,499,59.46%,0.0563,5.599198,4.239316,0.033092,13,15
2018,Broncos,DEN,329,349,5602,3695,1907,320,21,393,588,56.82%,0.058729,6.284014,4.852417,0.021407,19,18
2018,Browns,CLE,359,392,5900,4007,1893,314,24,411,574,66.67%,0.060847,6.980836,4.605839,0.024365,29,15
2018,Buccaneers,TB,396,464,6648,5125,1523,388,35,389,625,60.00%,0.059567,8.2,3.915167,0.034517,36,11
2018,Cardinals,ARI,225,425,3865,2523,1342,239,28,355,495,64.29%,0.058215,5.09697,3.780282,0.032941,15,9
2018,Chargers,LAC,428,329,5962,4089,1873,338,19,399,512,64.41%,0.071788,7.986328,4.694236,0.020856,32,16
2018,Chiefs,KC,565,421,6810,4955,1855,384,18,387,583,73.08%,0.082966,8.499142,4.793282,0.018557,50,16
2018,Colts,IND,433,344,6179,4461,1718,371,24,408,644,67.14%,0.070076,6.927019,4.210784,0.022814,39,13
2018,Commanders,WAS,281,359,4795,3021,1774,280,19,414,509,52.50%,0.05860271116,5.492727273,4.285024155,0.02058504875,16,12
2018,Cowboys,DAL,339,324,5501,3538,1963,322,17,439,527,51.79%,0.061625,6.713472,4.471526,0.017598,22,13
2018,Dolphins,MIA,319,433,4638,2900,1738,252,23,371,455,51.61%,0.06878,6.373626,4.684636,0.027845,26,7
2018,Eagles,PHI,367,348,5845,4275,1570,346,23,398,599,59.02%,0.062789,7.136895,3.944724,0.023069,29,12
2018,Falcons,ATL,414,423,6226,4653,1573,352,18,351,617,64.00%,0.066495,7.541329,4.481481,0.018595,36,11
2018,Giants,NYG,369,412,5697,4047,1650,297,19,354,583,50.00%,0.064771,6.941681,4.661017,0.020277,23,13
2018,Jaguars,JAX,245,316,4832,3109,1723,277,29,416,536,44.12%,0.050704,5.800373,4.141827,0.030462,15,7
2018,Jets,NYJ,333,441,4787,3165,1622,258,30,410,524,44.44%,0.069563,6.040076,3.956098,0.03212,18,11
2018,Lions,DET,324,360,5236,3576,1660,325,19,404,574,53.06%,0.061879,6.229965,4.108911,0.019427,22,11
2018,Packers,GB,376,400,5905,4238,1667,332,15,333,640,61.70%,0.063675,6.621875,5.006006,0.015416,25,14
2018,Panthers,CAR,376,382,5972,3836,2136,356,22,416,563,62.07%,0.06296,6.813499,5.134615,0.022472,28,17
2018,Patriots,NE,436,325,6295,4258,2037,365,18,478,574,62.86%,0.069261,7.418118,4.261506,0.01711,29,18
2018,Raiders,OAK,290,467,5379,3751,1628,300,24,387,556,53.49%,0.053913,6.746403,4.206718,0.025451,19,9
2018,Rams,LA,527,384,6738,4507,2231,401,19,459,568,56.82%,0.078213,7.934859,4.860566,0.0185,32,23
2018,Ravens,BAL,389,287,5999,3558,2441,367,20,547,556,55.74%,0.064844,6.399281,4.462523,0.018132,18,19
2018,Saints,NO,504,353,6067,4042,2025,377,16,471,519,68.42%,0.083072,7.788054,4.299363,0.016162,33,26
2018,Seahawks,SEA,428,347,5653,3093,2560,329,11,534,427,65.52%,0.075712,7.24356,4.794007,0.011446,35,15
2018,Steelers,PIT,428,360,6453,5008,1445,378,26,345,689,73.47%,0.066326,7.268505,4.188406,0.025145,35,16
2018,Texans,HOU,402,316,5802,3781,2021,333,16,472,506,50.00%,0.069286,7.472332,4.28178,0.01636,26,12
2018,Titans,TEN,310,303,4998,2975,2023,289,18,454,437,53.19%,0.062025,6.80778,4.455947,0.020202,16,15
2018,Vikings,MIN,360,341,5529,4036,1493,310,20,357,606,54.00%,0.065111,6.660066,4.182073,0.020768,30,9
2019,49ers,SF,479,310,6097,3792,2305,336,23,498,478,55.56%,0.078563,7.933054,4.628514,0.023566,28,23
2019,Bears,CHI,280,298,4749,3291,1458,297,19,395,580,52.17%,0.05896,5.674138,3.691139,0.019487,20,8
2019,Bengals,CIN,279,420,5169,3652,1517,312,30,385,616,43.75%,0.053976,5.928571,3.94026,0.02997,18,9
2019,Bills,BUF,314,259,5283,3229,2054,314,19,465,513,56.52%,0.059436,6.294347,4.417204,0.019427,21,13
2019,Broncos,DEN,282,316,4777,3115,1662,279,16,409,504,47.62%,0.059033,6.180556,4.06357,0.017525,16,11
2019,Browns,CLE,335,393,5455,3554,1901,305,28,393,539,58.00%,0.061412,6.593692,4.83715,0.030043,22,15
2019,Buccaneers,TB,458,449,6366,4845,1521,353,41,409,630,64.81%,0.071945,7.690476,3.718826,0.039461,33,15
2019,Cardinals,ARI,361,442,5467,3477,1990,314,18,396,554,45.28%,0.066033,6.276173,5.025253,0.018947,20,18
2019,Chargers,LAC,337,345,5879,4426,1453,349,31,366,597,52.83%,0.057323,7.413735,3.969945,0.032191,24,12
2019,Chiefs,KC,451,308,6067,4498,1569,350,15,375,576,60.00%,0.074337,7.809028,4.184,0.015773,30,16
2019,Colts,IND,361,373,5238,3108,2130,340,21,471,513,64.29%,0.068919,6.05848,4.522293,0.021341,22,17
2019,Commanders,WAS,266,435,4395,2812,1583,248,21,356,479,48.78%,0.06052332196,5.112727273,4.446629213,0.0251497006,18,9
2019,Cowboys,DAL,434,321,6904,4751,2153,379,18,449,597,57.41%,0.062862,7.958124,4.7951,0.017208,30,18
2019,Dolphins,MIA,306,494,4960,3804,1156,315,26,349,615,56.25%,0.061694,6.185366,3.312321,0.026971,22,10
