Year,Team,Points Scored,Points Allowed,Total Yards,Passing Yards,Rushing Yards,First Downs,Turnovers,Rush Attempts,Pass Attempts,RZSP
2015,49ers,238,387,4860,3316,1544,261,17,390,526,43.59%
2015,Bears,335,397,5514,3663,1851,312,21,469,523,48.98%
2015,Bengals,419,279,5728,3923,1805,324,17,467,505,65.00%
2015,Bills,379,359,5775,3343,2432,297,19,509,465,50.00%
2015,Broncos,355,296,5688,3970,1718,314,31,411,606,46.15%
2015,Browns,278,432,5311,3782,1529,307,30,380,609,38.30%
2015,Buccaneers,342,417,6014,3852,2162,336,28,455,535,52.94%
2015,Cardinals,489,313,6533,4616,1917,373,24,452,562,60.00%
2015,Chargers,320,398,5949,4591,1358,344,24,393,667,63.64%
2015,Chiefs,405,287,5299,3255,2044,303,15,436,473,57.38%
2015,Colts,333,408,5142,3704,1438,311,30,396,619,53.06%
2015,Commanders,388,379,5661,4095,1566,317,22,429,555,58.49%
2015,Cowboys,275,374,5361,3471,1890,307,33,408,528,44.44%
2015,Dolphins,310,389,5307,3811,1496,291,19,344,588,53.49%
2015,Eagles,377,430,5830,4087,1743,339,31,442,623,55.81%
2015,Falcons,339,345,5990,4379,1611,359,30,420,621,54.72%
2015,Giants,420,442,5952,4343,1609,331,21,403,623,44.44%
2015,Jaguars,376,448,5581,4108,1473,313,28,354,607,53.70%
2015,Jets,387,314,5925,4057,1868,329,24,448,604,66.04%
2015,Lions,358,400,5547,4212,1335,337,24,354,632,69.39%
2015,Packers,368,323,5353,3503,1850,317,17,436,573,55.00%
2015,Panthers,500,308,5871,3589,2282,357,19,526,501,69.44%
2015,Patriots,465,315,5991,4587,1404,347,14,383,629,65.22%
2015,Raiders,359,399,5336,3879,1457,300,24,370,605,60.98%
2015,Rams,280,330,4761,2805,1956,241,21,429,473,52.78%
2015,Ravens,328,401,5749,4271,1478,323,28,383,676,48.94%
2015,Saints,408,476,6461,4970,1491,381,20,397,667,60.34%
2015,Seahawks,423,277,6058,3790,2268,335,16,501,489,55.56%
2015,Steelers,423,319,6327,4603,1724,331,28,388,590,57.14%
2015,Texans,339,313,5564,3833,1731,335,20,472,619,56.52%
2015,Titans,299,423,4988,3503,1485,298,33,371,551,65.00%
2015,Vikings,365,302,5139,2928,2211,297,17,474,454,47.73%
2016,49ers,309,480,4930,2911,2019,287,25,458,491,68.18%
2016,Bears,279,399,5704,3969,1735,324,31,380,559,51.02%
2016,Bengals,325,315,5711,3942,1769,341,17,446,563,53.70%
2016,Bills,399,378,5666,3036,2630,328,12,492,474,64.81%
2016,Broncos,333,297,5169,3685,1484,290,25,410,570,46.81%
2016,Browns,264,452,4976,3264,1712,296,25,350,567,54.55%
2016,Buccaneers,354,369,5542,3926,1616,340,27,453,578,51.85%
2016,Cardinals,418,362,5868,4136,1732,368,28,399,646,64.81%
2016,Chargers,410,423,5708,4198,1510,340,35,398,580,51.61%
2016,Chiefs,389,311,5488,3740,1748,305,17,412,546,47.37%
2016,Colts,411,392,5830,4202,1628,351,22,409,584,66.04%
2016,Commanders,396,383,6454,4758,1696,345,21,379,607,45.90%
2016,Cowboys,421,306,6027,3631,2396,358,15,499,483,65.57%
2016,Dolphins,363,380,5324,3500,1824,278,23,405,477,55.10%
2016,Eagles,367,331,5398,3585,1813,333,20,438,609,49.09%
2016,Falcons,540,406,6653,4725,1928,379,11,421,537,64.56%
2016,Giants,310,284,5291,3879,1412,289,27,398,598,51.11%
2016,Jaguars,318,400,5359,3728,1631,321,29,392,626,60.00%
2016,Jets,275,409,5268,3466,1802,291,34,418,550,35.19%
2016,Lions,346,358,5421,4111,1310,329,15,350,594,54.17%
2016,Packers,432,388,5900,4199,1701,349,17,374,620,64.47%
2016,Panthers,369,402,5499,3685,1814,318,29,453,563,59.18%
2016,Patriots,441,250,6180,4308,1872,351,11,482,550,64.00%
2016,Raiders,416,385,5973,4051,1922,334,14,434,596,58.62%
2016,Rams,224,394,4203,2951,1252,245,29,375,536,47.06%
2016,Ravens,343,321,5563,4100,1463,316,23,367,679,52.17%
2016,Saints,469,454,6816,5074,1742,395,24,404,674,66.18%
2016,Seahawks,354,292,5715,4124,1591,313,18,403,567,47.62%
2016,Steelers,399,327,5962,4202,1760,336,18,409,596,54.24%
2016,Texans,279,328,5035,3176,1859,305,24,456,583,44.00%
2016,Titans,381,378,5728,3541,2187,322,18,476,504,72.00%
2016,Vikings,327,307,5041,3836,1205,303,16,380,588,46.00%
2017,49ers,331,383,5589,3925,1664,321,23,408,607,47.06%
2017,Bears,264,320,4599,2811,1788,267,22,422,473,60.61%
2017,Bengals,290,349,4488,3122,1366,267,23,377,510,55.81%
2017,Bills,302,359,4842,2825,2017,278,16,487,476,51.11%
2017,Broncos,289,382,5185,3333,1852,297,34,457,566,39.58%
2017,Browns,234,410,4942,3228,1714,290,41,384,574,48.72%
2017,Buccaneers,335,382,5816,4366,1450,352,27,389,605,49.06%
2017,Cardinals,295,361,5026,3640,1386,310,25,409,598,41.67%
2017,Chargers,355,272,6026,4431,1595,337,15,419,583,46.81%
2017,Chiefs,415,339,6007,4104,1903,322,11,405,543,45.28%
2017,Colts,263,404,4553,2892,1661,267,15,451,487,40.00%
2017,Commanders,342,388,5199,3751,1448,278,27,401,540,54.35%
2017,Cowboys,354,332,5311,3141,2170,314,22,480,493,59.62%
2017,Dolphins,281,393,4923,3535,1388,284,29,360,602,52.63%
2017,Eagles,457,295,5852,3737,2115,338,20,473,564,64.06%
2017,Falcons,353,315,5837,3990,1847,330,18,430,530,49.18%
2017,Giants,246,388,5028,3479,1549,271,22,394,608,48.72%
2017,Jaguars,417,268,5855,3593,2262,332,23,527,527,68.97%
2017,Jets,298,382,4884,3182,1702,269,24,427,510,54.55%
2017,Lions,410,376,5404,4183,1221,296,22,363,570,56.52%
2017,Packers,320,384,4891,3167,1724,307,25,386,562,61.90%
2017,Panthers,363,327,5179,3077,2102,320,22,490,501,51.79%
2017,Patriots,458,296,6307,4418,1889,389,12,448,587,62.65%
2017,Raiders,301,373,5185,3631,1554,287,28,370,558,58.82%
2017,Rams,478,329,5784,3831,1953,311,21,454,518,53.42%
2017,Ravens,395,303,4886,3030,1856,311,17,460,567,57.69%
2017,Saints,448,326,6259,4189,2070,332,18,444,536,61.29%
2017,Seahawks,366,332,5286,3657,1629,299,17,409,555,55.56%
2017,Steelers,406,308,6047,4380,1667,348,20,437,590,53.03%
2017,Texans,338,436,5120,3278,1842,313,28,448,525,52.38%
2017,Titans,334,356,5024,3191,1833,290,25,443,496,54.55%
2017,Vikings,382,252,5710,3753,1957,334,14,501,527,55.56%
2018,49ers,342,435,5769,3867,1902,344,32,423,532,41.18%
2018,Bears,421,283,5502,3564,1938,331,24,468,512,63.16%
2018,Bengals,368,455,4972,3290,1682,304,17,359,542,71.11%
2018,Bills,269,374,4778,2794,1984,283,32,468,499,59.46%
2018,Broncos,329,349,5602,3695,1907,320,21,393,588,56.82%
2018,Browns,359,392,5900,4007,1893,314,24,411,574,66.67%
2018,Buccaneers,396,464,6648,5125,1523,388,35,389,625,60.00%
2018,Cardinals,225,425,3865,2523,1342,239,28,355,495,64.29%
2018,Chargers,428,329,5962,4089,1873,338,19,399,512,64.41%
2018,Chiefs,565,421,6810,4955,1855,384,18,387,583,73.08%
2018,Colts,433,344,6179,4461,1718,371,24,408,644,67.14%
2018,Commanders,281,359,4795,3021,1774,280,19,414,509,52.50%
2018,Cowboys,339,324,5501,3538,1963,322,17,439,527,51.79%
2018,Dolphins,319,433,4638,2900,1738,252,23,371,455,51.61%
2018,Eagles,367,348,5845,4275,1570,346,23,398,599,59.02%
2018,Falcons,414,423,6226,4653,1573,352,18,351,617,64.00%
2018,Giants,369,412,5697,4047,1650,297,19,354,583,50.00%
2018,Jaguars,245,316,4832,3109,1723,277,29,416,536,44.12%
2018,Jets,333,441,4787,3165,1622,258,30,410,524,44.44%
2018,Lions,324,360,5236,3576,1660,325,19,404,574,53.06%
2018,Packers,376,400,5905,4238,1667,332,15,333,640,61.70%
2018,Panthers,376,382,5972,3836,2136,356,22,416,563,62.07%
2018,Patriots,436,325,6295,4258,2037,365,18,478,574,62.86%
2018,Raiders,290,467,5379,3751,1628,300,24,387,556,53.49%
2018,Rams,527,384,6738,4507,2231,401,19,459,568,56.82%
2018,Ravens,389,287,5999,3558,2441,367,20,547,556,55.74%
2018,Saints,504,353,6067,4042,2025,377,16,471,519,68.42%
2018,Seahawks,428,347,5653,3093,2560,329,11,534,427,65.52%
2018,Steelers,428,360,6453,5008,1445,378,26,345,689,73.47%
2018,Texans,402,316,5802,3781,2021,333,16,472,506,50.00%
2018,Titans,310,303,4998,2975,2023,289,18,454,437,53.19%
2018,Vikings,360,341,5529,4036,1493,310,20,357,606,54.00%
2019,49ers,479,310,6097,3792,2305,336,23,498,478,55.56%
2019,Bears,280,298,4749,3291,1458,297,19,395,580,52.17%
2019,Bengals,279,420,5169,3652,1517,312,30,385,616,43.75%
2019,Bills,314,259,5283,3229,2054,314,19,465,513,56.52%
2019,Broncos,282,316,4777,3115,1662,279,16,409,504,47.62%
2019,Browns,335,393,5455,3554,1901,305,28,393,539,58.00%
2019,Buccaneers,458,449,6366,4845,1521,353,41,409,630,64.81%
2019,Cardinals,361,442,5467,3477,1990,314,18,396,554,45.28%
2019,Chargers,337,345,5879,4426,1453,349,31,366,597,52.83%
2019,Chiefs,451,308,6067,4498,1569,350,15,375,576,60.00%
2019,Colts,361,373,5238,3108,2130,340,21,471,513,64.29%
2019,Commanders,266,435,4405,2822,1583,248,21,357,479,48.78%
2019,Cowboys,434,321,6904,4751,2153,379,18,449,597,57.41%
2019,Dolphins,306,494,4960,3804,1156,315,26,349,615,56.25%
2019,Eagles,385,354,5772,3833,1939,354,23,454,613,63.16%
2019,Falcons,381,399,6075,4714,1361,383,25,362,684,51.67%
2019,Giants,341,451,5416,3731,1685,311,33,362,607,57.14%
2019,Jaguars,300,397,5468,3760,1708,298,20,389,589,40.43%
2019,Jets,276,359,4368,3111,1257,253,25,383,521,54.55%
2019,Lions,341,423,5549,3900,1649,313,23,407,571,59.52%
2019,Packers,376,313,5528,3733,1795,320,13,411,573,67.86%
2019,Panthers,340,470,5469,3650,1819,335,35,386,633,58.00%
2019,Patriots,420,225,5664,3961,1703,338,15,447,620,49.21%
2019,Raiders,313,419,5819,3926,1893,315,17,437,523,52.83%
2019,Rams,394,364,5998,4499,1499,342,24,401,632,64.41%
2019,Ravens,531,282,6521,3225,3296,386,15,596,440,64.71%
2019,Saints,458,341,5982,4244,1738,347,8,405,581,59.32%
2019,Seahawks,405,398,5991,3791,2200,341,20,481,517,64.62%
2019,Steelers,289,303,4428,2981,1447,265,30,396,510,35.00%
2019,Texans,378,385,5792,3783,2009,346,22,434,534,62.71%
2019,Titans,402,331,5805,3582,2223,317,17,445,448,77.36%
2019,Vikings,407,303,5656,3523,2133,314,20,476,466,60.66%
2020,49ers,376,390,5922,4033,1889,350,31,437,570,67.27%
2020,Bears,372,370,5302,3655,1647,335,22,393,614,56.14%
2020,Bengals,311,424,5116,3448,1668,318,24,411,581,50.00%
2020,Bills,501,375,6343,4620,1723,397,22,411,596,61.04%
2020,Broncos,323,446,5369,3451,1918,308,32,442,556,53.33%
2020,Browns,408,419,5913,3539,2374,355,16,495,501,73.33%
2020,Buccaneers,492,355,6145,4626,1519,364,17,369,626,64.56%
2020,Cardinals,410,367,6153,3916,2237,381,21,479,575,65.52%
2020,Chargers,384,426,6113,4329,1784,373,16,466,627,57.14%
2020,Chiefs,473,362,6653,4854,1799,397,16,403,630,58.90%
2020,Colts,451,362,6049,4053,1996,364,15,459,552,56.92%
2020,Commanders,335,329,5076,3465,1611,322,27,400,601,58.82%
2020,Cowboys,395,473,5949,4161,1788,371,26,430,639,50.00%
2020,Dolphins,404,338,5424,3736,1688,345,20,428,559,58.33%
2020,Eagles,334,418,5354,3327,2027,336,29,403,598,60.87%
2020,Falcons,396,414,5895,4363,1532,366,18,409,628,53.45%
2020,Giants,280,357,4794,3026,1768,297,22,399,517,46.34%
2020,Jaguars,306,492,5218,3699,1519,310,25,337,616,60.00%
2020,Jets,243,457,4479,2796,1683,269,19,406,499,42.11%
2020,Lions,377,519,5603,4104,1499,350,21,367,582,66.04%
2020,Packers,509,369,6224,4106,2118,358,11,443,526,76.81%
2020,Panthers,350,402,5592,3888,1704,335,21,407,550,50.88%
2020,Patriots,326,353,5236,2890,2346,332,19,502,440,54.17%
2020,Raiders,434,478,6133,4217,1916,359,26,457,551,54.24%
2020,Rams,372,296,6032,4014,2018,352,25,473,590,57.81%
2020,Ravens,468,303,5810,2739,3071,327,18,555,406,59.09%
2020,Saints,482,337,6023,3758,2265,367,17,494,522,71.62%
2020,Seahawks,459,371,5912,3941,1971,356,18,411,563,73.68%
2020,Steelers,416,312,5354,4003,1351,322,18,373,656,66.07%
2020,Texans,384,464,6004,4538,1466,326,18,344,546,54.00%
2020,Titans,491,439,6343,3653,2690,381,12,521,485,74.24%
2020,Vikings,430,475,6292,4009,2283,383,23,468,516,71.19%
2021,49ers,427,365,6387,4221,2166,361,24,499,514,64.41%
2021,Bears,311,407,5225,3207,2018,333,29,475,542,47.92%
2021,Bengals,460,376,6145,4403,1742,337,21,436,555,54.55%
2021,Bills,483,289,6493,4284,2209,398,22,461,655,66.28%
2021,Broncos,335,322,5618,3593,2025,331,18,455,541,54.72%
2021,Browns,349,371,5791,3320,2471,342,22,485,520,62.00%
2021,Buccaneers,511,353,6901,5229,1672,404,19,385,731,65.79%
2021,Cardinals,449,366,6352,4276,2076,367,15,496,591,60.61%
2021,Chargers,474,459,6634,4800,1834,401,22,423,674,64.00%
2021,Chiefs,480,364,6746,4791,1955,419,25,431,675,62.20%
2021,Colts,451,365,5901,3361,2540,354,19,499,521,56.25%
2021,Commanders,335,434,5502,3441,2061,345,24,477,550,52.00%
2021,Cowboys,530,358,6919,4800,2119,390,20,473,647,63.64%
2021,Dolphins,341,373,5219,3651,1568,325,26,442,615,61.22%
2021,Eagles,444,385,6119,3404,2715,352,16,550,494,62.90%
2021,Falcons,313,459,5164,3713,1451,306,26,393,573,53.70%
2021,Giants,258,416,4884,3196,1688,299,30,419,593,44.74%
2021,Jaguars,253,457,5191,3436,1755,304,29,392,604,51.28%
2021,Jets,310,504,5208,3541,1667,310,27,380,603,54.90%
2021,Lions,325,467,5484,3598,1886,329,23,427,593,46.67%
2021,Packers,450,371,6215,4315,1900,375,13,446,593,57.53%
2021,Panthers,304,404,5081,3239,1842,322,29,455,599,53.19%
2021,Patriots,462,303,6008,3857,2151,362,23,489,535,63.08%
2021,Raiders,374,439,6184,4567,1617,349,24,414,628,49.23%
2021,Rams,460,372,6325,4642,1683,355,23,420,607,59.09%
2021,Ravens,387,392,6440,3961,2479,394,26,517,611,60.71%
2021,Saints,364,335,5177,3186,1991,307,18,510,504,58.93%
2021,Seahawks,395,366,5506,3432,2074,302,13,413,495,64.58%
2021,Steelers,343,398,5361,3778,1583,323,20,411,664,54.72%
2021,Texans,280,452,4727,3305,1422,266,22,420,546,51.35%
2021,Titans,419,354,5822,3418,2404,362,25,551,535,62.50%
2021,Vikings,425,426,6168,4238,1930,332,13,449,604,62.26%
2022,49ers,450,277,6216,3856,2360,347,17,504,512,52.78%
2022,Bears,326,463,5233,2219,3014,278,25,558,377,56.00%
2022,Bengals,418,322,5768,4240,1528,357,18,399,610,63.64%
2022,Bills,455,286,6361,4129,2232,367,27,430,574,60.00%
2022,Broncos,287,359,5527,3592,1935,300,24,444,571,55.56%
2022,Browns,361,381,5934,3444,2490,350,21,532,540,53.57%
2022,Buccaneers,313,358,5894,4586,1308,346,22,386,751,50.94%
2022,Cardinals,340,449,5499,3626,1873,326,25,434,664,56.82%
2022,Chargers,391,384,6108,4584,1524,352,19,404,711,54.55%
2022,Chiefs,496,369,7032,5062,1970,408,23,417,651,71.08%
2022,Colts,289,427,5298,3432,1866,310,34,439,604,45.83%
2022,Commanders,321,343,5615,3472,2143,339,23,538,554,51.06%
2022,Cowboys,467,342,6034,3736,2298,347,23,531,556,71.43%
2022,Dolphins,397,399,6197,4511,1686,342,21,390,584,59.26%
2022,Eagles,477,344,6614,4105,2509,385,19,544,536,68.00%
2022,Falcons,365,386,5417,2699,2718,330,21,559,415,55.56%
2022,Giants,365,371,5676,3157,2519,352,16,520,520,64.81%
2022,Jaguars,404,350,6075,3959,2116,352,22,448,596,55.38%
2022,Jets,296,316,5409,3723,1686,294,23,405,627,43.48%
2022,Lions,453,427,6460,4281,2179,376,15,480,588,66.18%
2022,Packers,370,371,5745,3632,2113,334,22,456,563,51.85%
2022,Panthers,347,374,5206,2996,2210,281,21,483,457,56.52%
2022,Patriots,364,347,5348,3536,1812,288,23,425,540,42.22%
2022,Raiders,395,418,5993,3934,2059,343,21,428,586,48.94%
2022,Rams,307,384,4769,3108,1661,293,23,411,531,55.56%
2022,Ravens,350,315,5760,3040,2720,337,21,526,488,44.44%
2022,Saints,330,345,5674,3692,1982,305,25,465,512,52.08%
2022,Seahawks,407,401,5976,3934,2042,346,23,425,573,48.28%
2022,Steelers,308,346,5484,3411,2073,345,19,500,571,51.92%
2022,Texans,289,420,4820,3344,1476,277,28,398,579,47.92%
2022,Titans,298,359,5045,2914,2131,277,23,487,456,64.29%
2022,Vikings,424,427,6145,4484,1661,382,23,404,672,63.24%
2023,49ers,491,298,6773,4384,2389,383,18,499,491,68.00%
2023,Bears,360,379,5495,3096,2399,322,25,534,513,57.14%
2023,Bengals,366,384,5422,3895,1527,329,16,383,615,59.62%
2023,Bills,451,311,6366,4154,2212,381,28,512,579,63.89%
2023,Broncos,357,413,5072,3262,1810,301,22,451,513,50.85%
2023,Browns,396,362,5710,3693,2017,325,37,518,624,57.69%
2023,Buccaneers,348,325,5321,3812,1509,300,18,439,568,48.08%
2023,Cardinals,330,455,5509,3144,2365,330,18,471,555,62.79%
2023,Chargers,346,398,5599,3957,1642,319,21,431,632,57.45%
2023,Chiefs,371,294,5973,4189,1784,350,28,417,635,51.25%
2023,Colts,396,415,5725,3666,2059,324,22,479,574,49.12%
2023,Commanders,329,518,5317,3725,1592,321,32,359,636,63.27%
2023,Cowboys,509,315,6317,4397,1920,385,16,468,614,57.89%
2023,Dolphins,496,391,6822,4514,2308,360,25,456,566,65.52%
2023,Eagles,433,428,6024,3834,2190,377,28,510,563,59.68%
2023,Falcons,321,373,5683,3524,2159,326,28,522,530,46.81%
2023,Giants,266,407,4760,2886,1874,267,19,454,518,44.19%
2023,Jaguars,377,371,5772,4126,1646,336,30,453,620,50.00%
2023,Jets,268,355,4566,2919,1647,260,33,388,601,32.43%
2023,Lions,461,395,6712,4401,2311,375,23,500,606,66.67%
2023,Packers,383,350,5873,3968,1905,338,18,441,581,53.42%
2023,Panthers,236,416,4510,2741,1769,297,20,445,586,50.00%
2023,Patriots,236,366,4696,3069,1627,261,29,415,557,58.33%
2023,Raiders,332,331,4922,3380,1542,292,24,413,557,48.94%
2023,Rams,404,377,6108,4063,2045,351,18,477,583,60.34%
2023,Ravens,483,280,6296,3635,2661,359,19,541,494,62.16%
2023,Saints,402,327,5732,3990,1742,337,18,480,606,53.33%
2023,Seahawks,364,402,5490,3910,1580,317,17,382,575,48.15%
2023,Steelers,304,324,5173,3163,2010,287,16,487,506,48.89%
2023,Texans,377,353,5820,4173,1647,329,14,444,592,55.36%
2023,Titans,305,367,4913,3067,1846,298,20,444,494,47.92%
2023,Vikings,344,362,5912,4359,1553,340,34,393,631,47.06%
