Year,Team,RZSP
2015,Panthers,69.44%
2015,Lions,69.39%
2015,Jets,66.04%
2015,Patriots,65.22%
2015,Titans,65.00%
2015,Bengals,65.00%
2015,Chargers,63.64%
2015,Raiders,60.98%
2015,Saints,60.34%
2015,Cardinals,60.00%
2015,Commanders,58.49%
2015,Chiefs,57.38%
2015,Steelers,57.14%
2015,Texans,56.52%
2015,Eagles,55.81%
2015,Seahawks,55.56%
2015,Packers,55.00%
2015,Falcons,54.72%
2015,Jaguars,53.70%
2015,Dolphins,53.49%
2015,Colts,53.06%
2015,Buccaneers,52.94%
2015,Rams,52.78%
2015,Bills,50.00%
2015,Bears,48.98%
2015,Ravens,48.94%
2015,Vikings,47.73%
2015,Broncos,46.15%
2015,Cowboys,44.44%
2015,Giants,44.44%
2015,49ers,43.59%
2015,Browns,38.30%
2016,Titans,72.00%
2016,49ers,68.18%
2016,Saints,66.18%
2016,Colts,66.04%
2016,Cowboys,65.57%
2016,Cardinals,64.81%
2016,Bills,64.81%
2016,Falcons,64.56%
2016,Packers,64.47%
2016,Patriots,64.00%
2016,Jaguars,60.00%
2016,Panthers,59.18%
2016,Raiders,58.62%
2016,Dolphins,55.10%
2016,Browns,54.55%
2016,Steelers,54.24%
2016,Lions,54.17%
2016,Bengals,53.70%
2016,Ravens,52.17%
2016,Buccaneers,51.85%
2016,Chargers,51.61%
2016,Giants,51.11%
2016,Bears,51.02%
2016,Eagles,49.09%
2016,Seahawks,47.62%
2016,Chiefs,47.37%
2016,Rams,47.06%
2016,Broncos,46.81%
2016,Vikings,46.00%
2016,Commanders,45.90%
2016,Texans,44.00%
2016,Jets,35.19%
2017,Jaguars,68.97%
2017,Eagles,64.06%
2017,Patriots,62.65%
2017,Packers,61.90%
2017,Saints,61.29%
2017,Bears,60.61%
2017,Cowboys,59.62%
2017,Raiders,58.82%
2017,Ravens,57.69%
2017,Lions,56.52%
2017,Bengals,55.81%
2017,Vikings,55.56%
2017,Seahawks,55.56%
2017,Jets,54.55%
2017,Titans,54.55%
2017,Commanders,54.35%
2017,Rams,53.42%
2017,Steelers,53.03%
2017,Dolphins,52.63%
2017,Texans,52.38%
2017,Panthers,51.79%
2017,Bills,51.11%
2017,Falcons,49.18%
2017,Buccaneers,49.06%
2017,Browns,48.72%
2017,Giants,48.72%
2017,49ers,47.06%
2017,Chargers,46.81%
2017,Chiefs,45.28%
2017,Cardinals,41.67%
2017,Colts,40.00%
2017,Broncos,39.58%
2018,Steelers,73.47%
2018,Chiefs,73.08%
2018,Bengals,71.11%
2018,Saints,68.42%
2018,Colts,67.14%
2018,Browns,66.67%
2018,Seahawks,65.52%
2018,Chargers,64.41%
2018,Cardinals,64.29%
2018,Falcons,64.00%
2018,Bears,63.16%
2018,Patriots,62.86%
2018,Panthers,62.07%
2018,Packers,61.70%
2018,Buccaneers,60.00%
2018,Bills,59.46%
2018,Eagles,59.02%
2018,Broncos,56.82%
2018,Rams,56.82%
2018,Ravens,55.74%
2018,Vikings,54.00%
2018,Raiders,53.49%
2018,Titans,53.19%
2018,Lions,53.06%
2018,Commanders,52.50%
2018,Cowboys,51.79%
2018,Dolphins,51.61%
2018,Texans,50.00%
2018,Giants,50.00%
2018,Jets,44.44%
2018,Jaguars,44.12%
2018,49ers,41.18%
2019,Titans,77.36%
2019,Packers,67.86%
2019,Buccaneers,64.81%
2019,Ravens,64.71%
2019,Seahawks,64.62%
2019,Rams,64.41%
2019,Colts,64.29%
2019,Eagles,63.16%
2019,Texans,62.71%
2019,Vikings,60.66%
2019,Chiefs,60.00%
2019,Lions,59.52%
2019,Saints,59.32%
2019,Panthers,58.00%
2019,Browns,58.00%
2019,Cowboys,57.41%
2019,Giants,57.14%
2019,Bills,56.52%
2019,Dolphins,56.25%
2019,49ers,55.56%
2019,Jets,54.55%
2019,Chargers,52.83%
2019,Raiders,52.83%
2019,Bears,52.17%
2019,Falcons,51.67%
2019,Patriots,49.21%
2019,Commanders,48.78%
2019,Broncos,47.62%
2019,Cardinals,45.28%
2019,Bengals,43.75%
2019,Jaguars,40.43%
2019,Steelers,35.00%
2020,Packers,76.81%
2020,Titans,74.24%
2020,Seahawks,73.68%
2020,Browns,73.33%
2020,Saints,71.62%
2020,Vikings,71.19%
2020,49ers,67.27%
2020,Steelers,66.07%
2020,Lions,66.04%
2020,Cardinals,65.52%
2020,Buccaneers,64.56%
2020,Bills,61.04%
2020,Eagles,60.87%
2020,Jaguars,60.00%
2020,Ravens,59.09%
2020,Chiefs,58.90%
2020,Commanders,58.82%
2020,Dolphins,58.33%
2020,Rams,57.81%
2020,Chargers,57.14%
2020,Colts,56.92%
2020,Bears,56.14%
2020,Raiders,54.24%
2020,Patriots,54.17%
2020,Texans,54.00%
2020,Falcons,53.45%
2020,Broncos,53.33%
2020,Panthers,50.88%
2020,Bengals,50.00%
2020,Cowboys,50.00%
2020,Giants,46.34%
2020,Jets,42.11%
2021,Bills,66.28%
2021,Buccaneers,65.79%
2021,Seahawks,64.58%
2021,49ers,64.41%
2021,Chargers,64.00%
2021,Cowboys,63.64%
2021,Patriots,63.08%
2021,Eagles,62.90%
2021,Titans,62.50%
2021,Vikings,62.26%
2021,Chiefs,62.20%
2021,Browns,62.00%
2021,Dolphins,61.22%
2021,Ravens,60.71%
2021,Cardinals,60.61%
2021,Rams,59.09%
2021,Saints,58.93%
2021,Packers,57.53%
2021,Colts,56.25%
2021,Jets,54.90%
2021,Broncos,54.72%
2021,Steelers,54.72%
2021,Bengals,54.55%
2021,Falcons,53.70%
2021,Panthers,53.19%
2021,Commanders,52.00%
2021,Texans,51.35%
2021,Jaguars,51.28%
2021,Raiders,49.23%
2021,Bears,47.92%
2021,Lions,46.67%
2021,Giants,44.74%
2022,Cowboys,71.43%
2022,Chiefs,71.08%
2022,Eagles,68.00%
2022,Lions,66.18%
2022,Giants,64.81%
2022,Titans,64.29%
2022,Bengals,63.64%
2022,Vikings,63.24%
2022,Bills,60.00%
2022,Dolphins,59.26%
2022,Cardinals,56.82%
2022,Panthers,56.52%
2022,Bears,56.00%
2022,Broncos,55.56%
2022,Rams,55.56%
2022,Falcons,55.56%
2022,Jaguars,55.38%
2022,Chargers,54.55%
2022,Browns,53.57%
2022,49ers,52.78%
2022,Saints,52.08%
2022,Steelers,51.92%
2022,Packers,51.85%
2022,Commanders,51.06%
2022,Buccaneers,50.94%
2022,Raiders,48.94%
2022,Seahawks,48.28%
2022,Texans,47.92%
2022,Colts,45.83%
2022,Ravens,44.44%
2022,Jets,43.48%
2022,Patriots,42.22%
2023,49ers,68.00%
2023,Lions,66.67%
2023,Dolphins,65.52%
2023,Bills,63.89%
2023,Commanders,63.27%
2023,Cardinals,62.79%
2023,Ravens,62.16%
2023,Rams,60.34%
2023,Eagles,59.68%
2023,Bengals,59.62%
2023,Patriots,58.33%
2023,Cowboys,57.89%
2023,Browns,57.69%
2023,Chargers,57.45%
2023,Bears,57.14%
2023,Texans,55.36%
2023,Packers,53.42%
2023,Saints,53.33%
2023,Chiefs,51.25%
2023,Broncos,50.85%
2023,Jaguars,50.00%
2023,Panthers,50.00%
2023,Colts,49.12%
2023,Raiders,48.94%
2023,Steelers,48.89%
2023,Seahawks,48.15%
2023,Buccaneers,48.08%
2023,Titans,47.92%
2023,Vikings,47.06%
2023,Falcons,46.81%
2023,Giants,44.19%
2023,Jets,32.43%